sample,THCA,OV,LUSC,LIHC,HNSC,UCEC,BRCA,LUAD,SKCM,STAD,CRC,ESCA,GBM,KIRC,CESC,KIRP,PRAD,BLCA,PAAD,LGG
SLCO3A1,4.0374,2.8779,4.4373,1.5709,3.5851,2.8838,3.4804,4.3716,2.7615,2.5824,2.5036,2.4492,4.0162,3.6415,3.1062,3.2267,2.9033,3.2112,4.055,4.0162
PRRC2C,4.6502,4.9842,4.889,3.3582,4.6867,4.6271,5.1767,4.9132,5.3583,4.5954,4.6838,4.7367,4.4926,4.5525,4.3313,4.4663,4.851,4.9896,4.8666,4.4926
TNFAIP6,0.2642,0.24,2.043,0.099,0.8921,0.5859,2.4359,1.7786,0.6425,1.4112,0.9115,0.8164,1.334,0.3056,0.732,0.3228,0.3402,2.4305,3.355,1.334
ACSL1,5.1371,3.5072,6.0024,8.4508,5.5939,4.0952,6.972,6.1136,5.5423,3.869,3.2841,4.3527,3.9031,7.0283,4.2242,6.9307,6.1609,4.812,4.9665,3.9031
ZNF747,2.9109,2.7073,2.4518,2.1719,1.9822,2.8974,2.6209,2.5288,2.7073,2.3909,2.5828,2.0535,2.7227,2.6693,2.6828,2.8681,2.9013,2.5238,2.6695,2.7227
COL4A5,2.9394,4.3306,2.5695,0.3961,1.6336,4.0532,3.3119,2.8199,0.099,2.5032,1.2875,3.245,3.1749,3.3378,4.2389,3.0366,3.8793,4.6792,1.5911,3.1749
KLHL36,4.1482,4.298,3.5305,2.3605,3.2442,3.5009,3.9261,3.567,3.29,3.4455,3.6207,3.835,3.1556,3.8521,3.4543,4.0265,3.8831,3.4224,3.8744,3.1556
ZNF570,1.8723,1.5265,1.2483,0.4761,0.8724,1.5013,1.8201,1.2209,1.2815,1.1377,0.8648,1.177,1.8403,1.7765,1.46,1.635,1.4987,1.1897,1.5086,1.8403
MOCS1,3.3046,3.3952,3.4667,3.6646,2.0056,3.4129,4.1003,3.5754,2.4332,2.3819,3.186,2.0535,2.7868,3.9194,3.0995,4.147,2.4062,2.5972,2.8115,2.7868
FOXA1,0.044,0.058,3.186,3.174,2.9525,0.0718,5.0713,3.4021,0.1124,4.106,4.0251,4.466,0.03,0.0158,0.0158,0.03,6.6543,4.585,0.2971,0.03
PLEKHF1,1.6234,2.7636,2.4895,2.2852,2.9661,3.6703,2.8381,2.5876,3.7193,2.5459,1.884,1.6558,2.233,1.2546,3.6148,1.5854,3.3263,3.0654,3.0928,2.233
MTCH1,8.7276,7.1206,6.8253,5.0704,6.0468,6.7541,6.5328,6.8977,6.826,5.6635,6.5472,5.4864,8.2867,6.733,6.7205,6.9274,7.209,6.4859,6.7083,8.2867
EPT1,2.2603,1.9339,1.8662,2.5188,2.739,1.4756,2.4883,1.8918,2.5238,1.9712,2.4728,2.0639,3.6277,2.7562,1.3225,2.4792,2.5731,1.9675,2.0003,3.6277
DPYD,3.0619,3.4888,4.3184,3.7656,3.1057,3.1955,3.9562,4.317,2.6806,2.7475,2.7117,2.296,1.3623,3.2158,3.0305,2.945,2.8219,3.1604,3.3944,1.3623
OR2AG1,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
FHL5,1.1316,1.6895,3.079,0.058,0.407,1.8363,2.167,2.8799,0.1124,1.1615,0.8568,1.1706,0.8164,2.362,2.8381,1.791,0.93,1.2271,1.4373,0.8164
CXCR3,1.2696,0.0718,2.0039,0.3288,0.7739,1.1183,0.7916,1.787,4.0748,1.7831,1.9565,0.4016,0.099,0.2642,0.517,0.3847,0.5855,1.1512,2.0897,0.099
ZNF112,1.8723,1.7009,1.0079,0.2878,0.7102,1.5854,1.7575,1.0915,0.9862,0.7483,0.9935,1.1316,1.5854,1.5215,1.4065,1.3311,1.5215,1.0363,1.3273,1.5854
PITHD1,5.0973,5.1242,4.9291,4.129,5.1852,5.2544,5.1314,4.9915,5.4867,3.9892,4.7602,3.4384,6.9039,4.6606,5.5005,4.6617,5.6874,4.9379,4.7898,6.9039
AGBL2,1.1183,2.0183,1.0243,0.5568,0.2881,1.1833,0.7407,1.0151,1.4388,0.3512,0.679,0.4761,0.346,0.7188,0.4865,0.919,0.8163,0.6517,0.9108,0.346
MAPK10,4.034,3.8126,2.8522,0.5763,1.387,3.8167,3.38,2.9394,0.2762,2.2227,1.7142,2.0218,6.3742,4.2312,4.4437,4.0874,4.5014,4.0419,2.4148,6.3742
OPTC,0.0014,0.1321,0.0014,0.0014,0.0014,0.044,0.0014,0.0014,0.0014,0.0218,0.0014,0.0014,0.03,0.0014,0.03,0.0014,0.058,0.044,0.0014,0.03
RCVRN,0.044,0.1648,0.1519,0.099,0.0718,0.4552,0.2881,0.099,0.044,0.1388,0.1257,0.058,0.732,0.0014,0.9494,0.03,0.0718,0.346,0.3517,0.732
GPR137,4.8685,4.3093,4.1277,3.4218,4.0606,4.4848,3.8451,4.182,4.742,4.2888,4.3385,3.7507,5.4611,4.445,4.3017,4.8665,4.6654,4.2563,4.7098,5.4611
MTMR6,3.0757,2.4895,3.33,1.8443,2.6072,2.7183,3.1228,3.3856,2.909,2.5682,2.8661,2.6533,3.6183,3.3083,2.7909,2.9881,3.0679,2.8402,2.9729,3.6183
TSPO2,0.0014,0.0014,0.0363,0.1582,0.0363,0.0014,0.03,0.0014,0.044,0.3717,0.0854,0.0718,0.03,0.3115,0.0014,0.3344,0.0014,0.0014,0.2448,0.03
CLEC9A,0.3346,0.1124,0.6378,0.2338,0.2274,0.4657,0.537,0.605,1.3735,0.3113,0.6608,0.1388,1.4282,0.3851,0.3573,0.2996,0.5955,0.4761,0.6235,1.4282
TSSK3,0.7233,2.3004,0.6145,0.1648,0.1519,1.0293,0.8568,0.4967,0.2762,0.4159,0.4233,0.4761,0.6969,0.3628,0.3346,0.4499,0.4393,0.2642,0.4781,0.6969
TNFRSF10A,1.5612,0.5714,2.6487,1.4521,2.7572,1.5514,2.5828,2.376,2.1735,1.8778,2.409,1.1183,0.4967,2.0021,1.2933,2.0945,1.7097,2.3107,2.5306,0.4967
PTDSS1,5.3597,5.0334,5.3747,4.4797,5.2182,5.0977,5.4253,5.3455,5.9736,4.7405,5.3126,4.2235,5.774,5.4836,5.0237,5.4819,5.3154,4.8664,5.3288,5.774
ERLEC1,5.7071,4.7121,5.3775,3.6855,4.1768,4.9932,5.0939,5.4938,4.8074,4.3937,4.9059,3.9654,5.2574,4.8605,5.2713,4.7916,5.9455,4.4777,4.8932,5.2574
RGPD2,1.2209,1.522,0.9115,0.7706,0.5568,0.9935,1.1183,0.9642,1.1183,0.6968,0.7748,0.9038,0.9568,0.7189,0.6332,0.5307,0.6324,0.9343,0.9789,0.9568
AGRN,5.2056,3.0358,5.2516,3.0955,4.3019,4.9213,4.7929,5.3709,4.2134,3.7138,3.7751,4.0348,5.3016,5.7649,4.2899,6.2895,4.468,4.8798,6.0207,5.3016
FXYD1,3.9365,6.8045,5.7233,8.2831,3.7378,7.0166,6.1301,5.5823,4.0808,5.1693,4.5498,3.6277,6.6083,3.6193,8.3151,3.905,5.312,5.4722,3.4712,6.6083
NPIPA2,0.1519,1.7467,0.1898,0.0014,0.0014,0.2277,0.3115,0.1903,0.6145,0.2215,0.099,0.2998,0.4447,0.044,0.1519,0.0014,0.1452,0.3573,0.1571,0.4447
PPP2R5A,4.7592,3.4048,5.2747,4.0211,4.5308,4.366,5.114,5.579,4.2041,4.0786,4.8729,4.5015,3.6195,4.7861,4.3924,4.5161,4.281,4.5608,4.2514,3.6195
ST3GAL5,5.3427,4.0431,4.8427,2.5263,1.8096,4.041,3.3464,5.0264,5.2453,2.3207,2.0535,1.3791,5.3202,2.3351,2.8877,2.2797,3.0281,4.4803,3.2712,5.3202
CDC14B,3.7182,2.6019,2.5511,3.1219,1.6738,2.3953,3.3178,2.5804,2.6487,2.4831,2.6395,2.651,2.6232,3.4785,2.183,3.3917,3.1547,2.7889,2.4828,2.6232
HSD17B2,0.0014,0.058,1.4413,6.6688,1.7546,0.3573,2.2634,1.3454,0.0158,3.7311,6.5953,1.4065,0.058,1.1802,0.03,1.1833,0.794,4.6317,5.4707,0.058
GALT,4.8605,5.7479,4.4654,5.656,3.5328,4.5002,4.2624,4.4012,5.481,4.033,4.3256,3.086,4.3752,4.3782,4.419,4.8495,4.6206,4.1603,4.2858,4.3752
ATP9B,3.5657,4.3137,3.5504,2.1197,2.7583,3.5584,3.4237,3.492,3.0585,3.2712,3.1377,3.0705,3.4021,3.3278,3.3119,3.4536,3.5066,3.1892,3.2346,3.4021
C12orf56,0.044,0.03,0.044,0.0014,1.6855,0.1519,0.03,0.0158,0.2154,0.044,0.3685,0.044,0.0854,1.0113,0.0718,0.9741,0.6049,0.8246,0.1188,0.0854
ACACB,3.5826,4.2212,2.6749,3.7762,1.8701,2.9167,4.8743,2.4754,1.3397,2.7844,3.0927,3.7061,2.8502,3.4563,3.2601,3.5206,3.0358,2.6255,2.6558,2.8502
HPCAL1,4.7634,3.6617,6.5295,4.1136,3.603,5.5255,4.041,6.6999,5.1269,4.9714,5.2392,4.7898,6.2502,5.3461,5.9113,5.6293,4.0645,3.87,5.2055,6.2502
