sample,BLCA,BRCA,CESC,CRC,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SKCM,STAD,THCA,UCEC
CD302,0.74,0.97,0.58,0.95,0.91,1.0,0.6,0.98,0.78,0.93,0.99,0.98,0.93,0.79,0.99,1.0,0.81,0.98,1.0,0.58
YTHDF3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HOXA7,0.81,0.6,0.87,0.92,0.73,0.73,0.67,0.93,0.95,0.17,0.04,0.34,0.63,0.39,0.21,0.75,0.49,0.49,0.01,0.6
MB,0.48,0.98,0.69,0.63,0.29,0.25,0.76,0.08,0.08,0.41,0.28,0.85,0.61,0.56,0.48,1.0,0.08,0.12,0.28,0.59
PPT2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UQCRC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KCNJ8,0.68,0.98,0.33,0.71,0.72,1.0,0.76,1.0,0.81,0.99,0.98,0.98,0.94,0.8,0.98,0.93,0.76,0.91,0.93,0.71
KCTD13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DPH3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM19A1,0.01,0.01,0.0,0.04,0.02,0.33,0.0,0.02,0.07,0.54,0.01,0.01,0.01,0.01,0.01,0.09,0.02,0.03,0.02,0.01
DFFA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HLA-DMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRX6,0.03,0.11,0.3,0.0,0.2,0.01,0.19,0.25,0.68,0.0,0.02,0.26,0.55,0.12,0.01,0.0,0.68,0.02,0.09,0.09
PLD1,0.95,0.92,0.99,1.0,1.0,0.82,1.0,1.0,1.0,0.74,0.92,0.99,1.0,0.82,0.99,0.71,0.97,1.0,0.8,0.88
AVPR1B,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.46,0.08,0.0,0.0,0.01,0.0,0.02,0.05,0.01,0.0,0.0,0.0,0.03
ALDH9A1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF665,0.76,0.88,0.33,0.52,0.2,0.9,0.09,0.82,0.78,0.82,0.1,0.66,0.42,0.96,0.67,0.95,0.42,0.44,0.98,0.72
OR1C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf216,1.0,1.0,1.0,0.99,0.99,1.0,1.0,0.99,0.97,1.0,0.92,1.0,1.0,0.98,1.0,1.0,1.0,0.98,1.0,1.0
PM20D1,0.48,0.01,0.0,0.0,0.01,0.01,0.0,0.09,0.11,0.0,0.01,0.02,0.01,0.03,0.23,0.0,0.02,0.01,0.04,0.03
PUS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSNA1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZNF461,0.91,0.98,0.78,0.64,0.73,1.0,0.58,0.97,0.89,0.99,0.48,0.97,0.92,0.97,0.9,0.94,0.82,0.59,0.98,0.88
PTPRN2,0.23,0.51,0.2,0.95,0.45,1.0,0.18,0.92,0.84,1.0,0.12,0.67,0.31,0.14,0.99,0.99,0.14,0.89,0.98,0.19
C19orf47,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SKIV2L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COL6A3,1.0,1.0,0.99,1.0,1.0,0.73,1.0,0.99,0.58,0.15,0.92,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.99,0.99
HDDC3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UTP15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,0.99,0.99,0.99,1.0,1.0,0.99
WDFY1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
APOF,0.0,0.12,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.89,0.02,0.0,0.0,0.01,0.84,0.0,0.0,0.0,0.01
ATP1A3,0.14,0.21,0.13,0.21,0.21,0.94,0.06,0.1,0.12,1.0,0.01,0.17,0.17,0.41,0.27,0.02,0.24,0.39,0.02,0.08
